2022-04-04 15:33:54,880 - INFO - mtx_name: 96_can_96.mtx, num_nodes: 96, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 96, greedy_result:96, abc_result: 96, greedy_time:0.0009965896606445312
2022-04-04 15:38:37,589 - INFO - mtx_name: 100_nos4.mtx, num_nodes: 100, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 32, greedy_result:42, abc_result: 37, greedy_time:0.0
2022-04-04 15:38:53,962 - INFO - mtx_name: 100_olm100.mtx, num_nodes: 100, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 51, greedy_result:51, abc_result: 51, greedy_time:0.0009992122650146484
2022-04-04 15:39:12,865 - INFO - mtx_name: 104_ck104.mtx, num_nodes: 104, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 30, greedy_result:51, abc_result: 38, greedy_time:0.0010297298431396484
2022-04-04 15:39:32,083 - INFO - mtx_name: 131_lns_131.mtx, num_nodes: 131, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:44, abc_result: 44, greedy_time:0.0009617805480957031
2022-04-04 15:39:51,383 - INFO - mtx_name: 132_west0132.mtx, num_nodes: 132, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:44, abc_result: 44, greedy_time:0.0010218620300292969
2022-04-04 15:40:28,995 - INFO - mtx_name: 147_lund_b.mtx, num_nodes: 147, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 55, greedy_result:58, abc_result: 59, greedy_time:0.000989675521850586
2022-04-04 15:40:36,746 - INFO - mtx_name: 57_will57.mtx, num_nodes: 57, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 17, greedy_result:24, abc_result: 20, greedy_time:0.0
2022-04-04 15:40:47,450 - INFO - mtx_name: 62_bfwa62.mtx, num_nodes: 62, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 16, greedy_result:23, abc_result: 22, greedy_time:0.0009980201721191406
2022-04-04 15:40:59,536 - INFO - mtx_name: 67_west0067.mtx, num_nodes: 67, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:23, abc_result: 23, greedy_time:0.0
2022-04-04 15:41:16,627 - INFO - mtx_name: 80_steam3.mtx, num_nodes: 80, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 8, greedy_result:27, abc_result: 27, greedy_time:0.0
2022-04-04 15:46:04,740 - INFO - mtx_name: 100_nos4.mtx, num_nodes: 100, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 32, greedy_result:36, abc_result: 32, greedy_time:0.0
2022-04-04 15:46:21,036 - INFO - mtx_name: 100_olm100.mtx, num_nodes: 100, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 51, greedy_result:51, abc_result: 51, greedy_time:0.0
2022-04-04 15:47:02,160 - INFO - mtx_name: 104_ck104.mtx, num_nodes: 104, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 30, greedy_result:30, abc_result: 30, greedy_time:0.0012369155883789062
